==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─ReLU: 3-299                  [1, 512, 32, 32]          --
├─Sequential: 1-7                        [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-35                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-300                [1, 256, 32, 32]          131,072
│    │    └─BatchNorm2d: 3-301           [1, 256, 32, 32]          512
│    │    └─ReLU: 3-302                  [1, 256, 32, 32]          --
│    │    └─Conv2d: 3-303                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-304           [1, 256, 16, 16]          512
│    │    └─Identity: 3-305              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-306                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-307              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-308                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-309           [1, 1024, 16, 16]         2,048
│    │    └─Sequential: 3-310            [1, 1024, 16, 16]         526,336
│    │    └─ReLU: 3-311                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-36                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-312                [1, 256, 16, 16]          262,144
│    │    └─BatchNorm2d: 3-313           [1, 256, 16, 16]          512
│    │    └─ReLU: 3-314                  [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-315                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-316           [1, 256, 16, 16]          512
│    │    └─Identity: 3-317              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-318                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-319              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-320                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-321           [1, 1024, 16, 16]         2,048
│    │    └─ReLU: 3-322                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-37                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-323                [1, 256, 16, 16]          262,144
│    │    └─BatchNorm2d: 3-324           [1, 256, 16, 16]          512
│    │    └─ReLU: 3-325                  [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-326                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-327           [1, 256, 16, 16]          512
│    │    └─Identity: 3-328              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-329                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-330              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-331                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-332           [1, 1024, 16, 16]         2,048
│    │    └─ReLU: 3-333                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-38                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-334                [1, 256, 16, 16]          262,144
│    │    └─BatchNorm2d: 3-335           [1, 256, 16, 16]          512
│    │    └─ReLU: 3-336                  [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-337                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-338           [1, 256, 16, 16]          512
│    │    └─Identity: 3-339              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-340                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-341              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-342                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-343           [1, 1024, 16, 16]         2,048
│    │    └─ReLU: 3-344                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-39                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-345                [1, 256, 16, 16]          262,144
│    │    └─BatchNorm2d: 3-346           [1, 256, 16, 16]          512
│    │    └─ReLU: 3-347                  [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-348                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-349           [1, 256, 16, 16]          512
│    │    └─Identity: 3-350              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-351                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-352              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-353                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-354           [1, 1024, 16, 16]         2,048
│    │    └─ReLU: 3-355                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-40                  [1, 1024, 16, 16]         --
│    │    └─Conv2d: 3-356                [1, 256, 16, 16]          262,144
│    │    └─BatchNorm2d: 3-357           [1, 256, 16, 16]          512
│    │    └─ReLU: 3-358                  [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-359                [1, 256, 16, 16]          589,824
│    │    └─BatchNorm2d: 3-360           [1, 256, 16, 16]          512
│    │    └─Identity: 3-361              [1, 256, 16, 16]          --
│    │    └─ReLU: 3-362                  [1, 256, 16, 16]          --
│    │    └─Identity: 3-363              [1, 256, 16, 16]          --
│    │    └─Conv2d: 3-364                [1, 1024, 16, 16]         262,144
│    │    └─BatchNorm2d: 3-365           [1, 1024, 16, 16]         2,048
│    │    └─ReLU: 3-366                  [1, 1024, 16, 16]         --
│    └─Bottleneck: 2-41                  [1, 1024, 16, 16]         --
